id,type,selector,posX,posY,isActivate,title,text,title_jap,text_jap
1,paths,global-options-cv-tag,left,bottom,1,Conversion Lists,Select Conversion,CV(コンバージョン)選択,解析対象のコンバージョンを選択して下さい。任意のインベントをコンバージョンとして登録することができます（管理者機能）
2,paths,.global-userseggroup-wrapper,left,bottom,1,User Segment',Select a user segment group and a segment,セグメント選択',設定してあるユーザーセグメントを選択することで、全ての集計結果を特定のユーザーセグメントに絞り込むことができます。複数のセグメント設定を一つのグループにまとめることで、セグメント毎の集計結果の比較をやりやすくできます。
3,paths,cache-picker,left,bottom,0,1,cache list',"Users can choose which data set to see from the cache list. Not updated until ""Apply"" is clicked.'",集計期間',集計したい期間を設定して下さい。遡りとは集計対象のユーザーのログを指定日数分遡って集計対象データに追加します。
4,paths,ess-loaded-data-view,left,bottom,1,Overview Count',It is telling how many log is loaded to essentia.',サマリー',読み込んだログの総数とユニークユーザー数です。それぞれをコンバージョンしたユーザーと指定対象のセグメントのユーザー別の数も表示します。さらに広告ログとサイトログ別に集計結果を表示します。
5,paths,.helper-info-viewer,left,bottom,1,filtering summary',This is the summary which filtering option is currenetly applied.',設定条件の一覧,現在適用されている設定条件を一覧でご覧になれます。
6,paths,.summary_summ,left,bottom,1,'summary','CV Count',概要,'初回接触からコンバージョンまでの経路に関する概要集計結果です。概要、上段ではCVカウント、及び、CVするまでのパスの長さの概要が表示されております。下段では、それぞれのCVユーザーのパス内にインタラクションタイプが含まれる割合をパイチャートで確認できます。
7,paths,.summary_logCountTrend,left,bottom,1,Trends',"Choose bins from by minute / dailyhourly / daily / weekly / monthly / hourly /by day",トレンド,'トラフィックの履歴です。分、時間、日次、週次、曜日、時間帯、などの多様な集計軸でトレンドをみることができます。"毎分/毎時/日毎/週毎/月毎/時間帯別/曜日別"からご覧頂けます。'
8,paths,.summary_logCountTrendMultiUser,left,bottom,1,Comparison Trends',You can compare trends among user groups.',比較トレンド,トレンドを指定グループ内の複数のセグメント別に比較することが出来ます。
9,paths,.summary_distFreq,left,bottom,1,Distribution Charts',Choose bin type',頻度分布,'初回接触から初回CVまでの間の日数・イベント・インプ・クリック"などの様々な頻度分布が表示されます。UU数および累積率でご覧頂けます。'
10,paths,.summary_distFreqPV,left,bottom,1,PV Distribution to CV',PV distribution to CV',CV数とCVR,CVするまでのイベント数別にCVしたユーザー数の分布を表示します。コンバージョンしていないユーザー数とCVR（コンバージョン率）も重ねて表示します。
11,paths,.summary_pieBrowsers,left,bottom,1,device detail',device detail',デバイス内訳,利用されているデバイスの内訳を表示します。
12,paths,.summary_beforeAfterTable,left,bottom,1,CV before/after comparison',showing before/after CV.',CV前後比較','イベント数をCVの前後で比較してご覧になれます。"CV前率/CV後率"ではイベント総数に対する割合を表示しております。'
13,paths,.summary_detailTableEventCount,left,bottom,1,Ranking',"PV/UU list which is drilldowned by ""browser/page/ip/skey"". You could select the log type from ""Site"" log or ""Ad"" log.'",ランキング',広告ログとサイトログ別に、キャンペーンやドメインなどの色々な集計キー毎にイベント数とUU数のランキングを表示します。トップ20以降はCSVダウンロード下さい。
14,paths,.summary_detailTableEntry,left,bottom,1,Entry',PV/UU list of entry log which is drilldowned by various combination.',流入解析',サイトへの流入経路の集計結果です（広告ログは含めません）。UU数の多い順にランキングを表示します。各流入経路毎にさらに詳細なドリルダウンもできます。20位以降はCSVダウンロードをご利用下さい。
15,paths,.summary_detailTableRegionMap,left,bottom,1,By Region',PV/UU list which is drilldowned by region code.',地域',ユーザーのアクセス元都道府県の集計結果です。
16,paths,.summary_attrScore,left,bottom,1,Attribution Score,'Choose models to evaluate.',アトリビューションスコア',10種類の異なるモデルでのアトリビューションスコアを表示します。csvダウンロードで全件ご利用頂けます。またコストデータをアップロードすることでCPAとしてもご覧になれます。アップロードするコストデータはcsv形式で、1カラム目にキャンペーン名などのラベルを2カラム目に費用数値をご記入下さい。
17,paths,.summary_attrScoreFMD,left,bottom,1,FML table,'F: entry',F-M-Lテーブル,初回接触でのイベント数(First)、CV直前のイベント数(Last)、それ以外でのイベント数(Middle)としてそれぞれカウントしております。
