memberID,gender,age
1381000219,F,F2
1381000239,F,F2
1381000346,F,F1
1381000387,M,M2
1381000389,M,M2
1381000565,F,F1
1381000663,M,M1
1381000866,F,F3
1381001130,F,F2
1381001153,F,F1
1381001441,F,F2
1381001449,M,M3
1381001558,F,F2
1381001757,M,T
1381001846,M,M3
1381001933,M,M2
1381002009,F,F2
1381002285,F,F2
1381002394,F,F1
1381002775,F,F2
1381002913,F,F2
1381003021,M,M1
1381003022,F,F2
1381003023,F,F1
1381003035,M,M2
1381003118,M,M2
1381003212,M,M2
1381003328,M,T
1381003641,M,M2
1381003678,F,F2
1381003768,F,F2
1381003885,F,F1
1381004003,F,F2
1381004098,M,M2
1381004153,F,F1
1381004154,M,M3
1381004232,M,T
1381004292,F,T
1381004329,M,M2
1381004427,M,M2
1381004610,F,F3
1381004613,F,F2
1381005000,F,T
1381005191,M,M2
1381005444,F,F2
1381005554,F,F1
1381005578,F,F2
1381005677,F,F2
1381005714,F,F1
1381005847,F,F3
1381006259,F,F2
1381006418,F,F3
1381006740,F,F1
1381006878,F,F2
1381006989,F,F2
1381007005,F,F1
1381007052,F,T
1381007080,M,M2
1381007166,M,M1
1381007276,F,F1
1381007433,M,T
1381007547,M,M2
1381007705,F,F3
1381007989,M,M3
1381008293,M,M1
1381008375,F,F3
1381008424,F,F3
1381008526,F,F2
1381008579,F,F3
1381008703,F,F3
1381008766,F,F1
1381008892,M,M3
1381008923,F,F3
1381009027,F,T
1381009361,F,F3
1381009422,F,F2
1381009464,M,M3
1381009738,F,F2
1381009943,M,T
1381010069,F,F1
1381010086,F,F2
1381010214,F,T
1381010223,M,M1
1381010396,F,F2
1381010435,F,F2
1381010460,M,M2
1381010584,F,F1
1381010619,M,M2
1381010660,F,F3
1381010693,F,F2
1381010761,F,F2
1381010790,M,M1
1381010793,F,F1
1381011367,F,F1
1381011476,F,T
1381011576,M,M3
1381012528,F,F3
1381012734,F,F3
1381013101,M,M3
1381013115,M,M2
1381013144,M,M2
1381013156,F,F2
1381013337,M,M1
1381013403,F,F2
1381013424,F,T
1381013589,F,F2
1381013671,F,F3
1381013787,F,F3
1381014148,M,M2
1381014365,F,F1
1381014502,F,F3
1381014523,M,T
1381014584,F,F1
1381014640,F,F2
1381014699,F,F1
1381014769,M,M2
1381014777,F,T
1381014807,M,M3
1381015054,F,F3
1381015269,M,M3
1381015279,F,T
1381015434,F,F2
1381015821,F,T
1381015842,M,M1
1381016148,F,T
1381016205,F,F3
1381016222,M,M3
1381016228,M,M2
1381016295,F,F3
1381016301,F,F2
1381016401,F,F2
1381016455,M,M3
1381016541,M,T
1381016569,M,T
1381016762,M,T
1381017199,M,M2
1381017447,M,M3
1381017484,F,F2
1381017509,F,F2
1381017519,F,F3
1381017531,F,T
1381017536,M,M2
1381017624,M,M2
1381017703,F,F2
1381017775,M,M3
1381017881,F,F3
1381018029,F,F1
1381018051,F,F2
1381018310,M,M2
1381018324,F,F2
1381018479,F,F3
1381018511,F,F2
1381018627,F,F3
