Num	memid	shop	good	date	price	count	category	review	web_cookie
204795	1396550127	California	110435	2014-04-23 18:35:27	7900	1	364481692	1	DCMO.lZkDrO7xk
51930	1396634796	California	110698	2014-04-24 18:06:36	1600	3	357354435	41	N3204-440258BB021C38BC9D
91306	1396722089	California	110368	2014-04-24 18:21:29	8000	2	306888941	47	AWS1SV01.430258BB021B91EB85
181037	1398301758	California	110531	2014-04-24 01:09:18	100	3	399005992	4	N3204-440258BB021C92013B
127271	1398087482	New York	110860	2014-04-23 13:38:02	4500	2	333480112	37	N3204-440258BB021C91C1E0
121838	1398418606	California	110185	2014-04-24 09:36:46	2300	2	330753911	23	DCMO.VWORrJxxk
16640	1398179246	New York	110813	2014-04-24 15:07:26	2700	2	388492228	37	N3205-440258BB021C8F2ADB
286726	1398130397	New York	110823	2014-04-24 01:33:17	4400	3	309689048	39	N3204-440258BB021BF15C8A
86486	1396971677	California	110162	2014-04-24 15:41:17	6500	2	304851624	19	KDDI.x2kIEAfy6ZIrQ1y3-qAg
122780	1396357716	California	110676	2014-04-23 13:08:36	9300	2	373044715	36	N3204-440258BB021C91E3DD
79760	1398130363	New York	110508	2014-04-24 01:32:43	2500	1	340499010	6	N3204-440258BB021C8E2EC1
5109	1398785263	New York	110584	2014-04-24 15:27:43	6600	3	391847286	18	SBNK.xNWBGxsAHmTzExWxxlQ
217137	1396464902	California	110115	2014-04-24 18:55:02	6800	3	342219300	36	DCMO.lcZxs7BxK
254519	1398761025	California	110287	2014-04-24 08:43:45	6500	2	332179133	24	DCMO.ly7lsxZbk
67857	1396899009	California	110138	2014-04-23 19:30:09	400	3	317281965	23	KDDI.x2kIERfyCqxrQhxJ-z5g
313084	1398261269	New York	110627	2014-04-23 13:54:29	8700	2	349848033	34	DCMO.HdHxsAf2k
389326	1398183609	New York	110516	2014-04-24 16:20:09	3900	3	341540626	27	AWS1SV01.440258BB021CDDA094
248459	1398199019	California	110744	2014-04-24 20:36:59	2300	1	387125912	29	N3205-440258BB021C8EE8BA
45036	1396723641	California	110381	2014-04-24 18:47:21	9200	3	312418953	8	SBNK.6NVS-gfswDF9-sJU3R8
388412	1398768258	New York	110900	2014-04-24 10:44:18	1500	2	379625799	12	DCMO.J4xIE9xtK
385573	1397077815	California	110869	2014-04-24 21:10:15	5100	1	309780440	26	DCMO.7ROTEc7JK
221931	1397081071	California	110767	2014-04-24 22:04:31	6100	2	386926832	29	KDDI.x3kIBCfyxDIrChc6-71h
379004	1398410027	California	110228	2014-04-24 07:13:47	2800	1	355365624	1	N3205-440258BB021C8ECA00
267197	1398059438	New York	110657	2014-04-23 05:50:38	2500	1	302397540	26	N3205-440258BB021C8A6255
362363	1398627195	California	110797	2014-04-23 19:33:15	8200	3	342518149	35	KDDI.x2kIrAfyGxHx3gvB-z9g
403907	1396643057	New York	110204	2014-04-24 20:24:17	300	3	327207714	20	KDDI.x3kIBCfcxxXrA1sS-7zT
39478	1396992367	New York	110435	2014-04-24 21:26:07	9500	1	334467844	10	KDDI.x2kIrAfy2qXBR176-zzh
29455	1396487703	New York	110179	2014-04-23 01:15:03	4000	2	363990928	37	N3205.440258BB021C8CAF09
167453	1396852951	New York	110632	2014-04-23 06:42:31	9600	2	379154796	7	A1044-430258BB022987DE39
15749	1396917653	New York	110868	2014-04-24 00:40:53	7100	1	392050722	12	N3205-440258BB021C8DEF7C
36541	1397972336	New York	110386	2014-04-23 05:38:56	8500	3	334203400	39	N3204-440258BB021C921ABF
55074	1398603991	New York	110378	2014-04-23 13:06:31	3000	3	302063233	40	N3205-440258BB021C8CA9EB
224053	1398145660	California	110472	2014-04-24 05:47:40	4000	2	324101241	17	N3204-440258BB021BFAF9F5
238028	1398369969	California	110525	2014-04-24 20:06:09	3200	1	321461782	29	DCMO.tCtQsWy_k
266243	1398648533	New York	110866	2014-04-24 01:28:53	7200	1	331776214	15	N3205-440258BB021C8F196A
135829	1396851408	California	110663	2014-04-23 06:16:48	4300	3	343671828	25	N3204-440258BB021C921A1D
33076	1398031576	New York	110706	2014-04-23 22:06:16	3100	2	336467301	16	KDDI.x3kbBRhtxqIBRh7x-zRT
74054	1397977778	California	110287	2014-04-23 07:09:38	200	2	393889840	23	DCMO.rWM1ELL8k
114899	1398336500	New York	110430	2014-04-24 10:48:20	500	2	395596779	13	AWS1SV01.430258BB0220AE49CC
242652	1398086573	California	110532	2014-04-23 13:22:53	5500	3	326894222	2	N3204-440258BB021C920EE7
370018	1398106745	New York	110752	2014-04-23 18:59:05	6200	2	395623604	16	N3204-440258BB021C903BC7
180278	1396694304	New York	110479	2014-04-24 10:38:24	7600	1	323300386	36	DCMO.HdIHrhXvK
316649	1396689966	California	110329	2014-04-24 09:26:06	2400	2	330416611	37	DCMO.HdIHrhXvK
375312	1398028136	California	110735	2014-04-23 21:08:56	1100	3	316268869	39	N3204-440258BB021C91DEBB
11548	1397064978	California	110809	2014-04-24 17:36:18	900	2	340308863	42	KDDI.x3kcBChJxqLszftG-qAg
234671	1398494971	California	110894	2014-04-24 06:49:31	2200	3	348936357	46	N3205-440258BB021C8F326B
364201	1398002322	New York	110357	2014-04-23 13:58:42	2100	1	354446491	2	N3205-440258BB021C8F3127
139271	1396607906	New York	110829	2014-04-24 10:38:26	3000	2	344328736	9	DCMO.VD3xrshIk
355086	1397999169	California	110722	2014-04-23 13:06:09	4400	3	356423849	37	N3205-440258BB021C8EE769
131196	1398409398	New York	110333	2014-04-24 07:03:18	4200	2	350928052	14	A1044-430258BB02293AC509
346687	1398297320	California	110216	2014-04-23 23:55:20	900	3	307957285	1	N3205-440258BB021C8F058F
17931	1397001682	California	110171	2014-04-24 00:01:22	7600	2	383480217	15	KDDI.x3kIECfxx5csRMt2-ARg
116163	1396405044	California	110163	2014-04-24 02:17:24	8400	2	362267168	24	N3205-440258BB021C8F26B4
397811	1398259956	California	110648	2014-04-23 13:32:36	8700	2	314258283	33	N3205-440258BB021C8F1BCA
2889	1398439490	California	110534	2014-04-24 15:24:50	8600	1	306469324	2	DCMO.rWIDBzB_k
104759	1396687275	California	110655	2014-04-24 08:41:15	1900	2	336407677	10	N3204-440258BB021BCE8C39
200558	1397995677	New York	110756	2014-04-23 12:07:57	1300	3	352505799	21	N3204-440258BB021BCE8C39
121506	1397056054	New York	110334	2014-04-24 15:07:34	5500	2	305479057	40	N3205-440258BB021C8E2C48
181294	1398012143	California	110246	2014-04-23 16:42:23	1900	3	333625702	4	N3205-440258BB021C7F050C
