jp:1,北海道
jp:2,青森県
jp:3,岩手県
jp:4,宮城県
jp:5,秋田県
jp:6,山形県
jp:7,福島県
jp:8,茨城県
jp:9,栃木県
jp:10,群馬県
jp:11,埼玉県
jp:12,千葉県
jp:13,東京都
jp:14,神奈川県
jp:15,新潟県
jp:16,富山県
jp:17,石川県
jp:18,福井県
jp:19,山梨県
jp:20,長野県
jp:21,岐阜県
jp:22,静岡県
jp:23,愛知県
jp:24,三重県
jp:25,滋賀県
jp:26,京都府
jp:27,大阪府
jp:28,兵庫県
jp:29,奈良県
jp:30,和歌山県
jp:31,鳥取県
jp:32,島根県
jp:33,岡山県
jp:34,広島県
jp:35,山口県
jp:36,徳島県
jp:37,香川県
jp:38,愛媛県
jp:39,高知県
jp:40,福岡県
jp:41,佐賀県
jp:42,長崎県
jp:43,熊本県
jp:44,大分県
jp:45,宮崎県
jp:46,鹿児島県
jp:47,沖縄県
jp:256,通信キャリア（日本）
us:al,Alabama
us:ak,Alaska
area,US-AS American
us:az,Arizona
us:ar,Arkansas
us:ca,California
us:co,Colorado
us:ct,Connecticut
us:de,Delaware
us:dc,District of
us:fl,Florida
us:ga,Georgia
us:hi,Hawaii
us:id,Idaho
us:il,Illinois
us:in,Indiana
us:ia,Iowa
us:ks,Kansas
us:ky,Kentucky
us:la,Louisiana
us:me,Maine
us:md,Maryland
us:ma,Massachusetts
us:mi,Michigan
us:mn,Minnesota
us:ms,Mississippi
us:mo,Missouri
us:mt,Montana
us:ne,Nebraska
us:nv,Nevada
us:nh,New Hampshire
us:nj,New Jersey
us:nm,New Mexico
us:ny,New York
us:nc,North Carolina
us:nd,North Dakota
us:oh,Ohio
us:ok,Oklahoma
us:or,Oregon
us:pa,Pennsylvania
us:ri,Rhode Island
us:sc,South Carolina
us:sd,South Dakota
us:tn,Tennessee
us:tx,Texas
us:ut,Utah
us:vt,Vermont
us:va,Virginia
us:wa,Washington
us:wv,West Virginia
us:wi,Wisconsin
us:wy,Wyoming
is,アイスランド
ie,アイルランド
ap,アジア太平洋
az,アゼルバイジャン
ac,アセンション島（英）
af,アフガニスタン
us,アメリカ合衆国
vi,アメリカ領ヴァージン諸島
as,アメリカ領サモア
um,アメリカ領太平洋諸島
ae,アラブ首長国連邦
dz,アルジェリア
ar,アルゼンチン
